city,closure_layoff,company,county,effective_date,industry,notes,number_of_workers,region,state,temporary_permanent,unions,warn_received_date
Waldorf,Plant Closure,"Value Village Thrift Stores, Inc.",None,2/21/26,459510,"2100 Crain Highway Waldorf, MD 20601",25,Southern Maryland,Maryland,None,None,2025-12-19
Marshfield,Facility Closure,Prince Corporation,Wood,2/19/26,General Freight Trucking Long Distance TL,None,80,North Central,Wisconsin,None,None,2025-12-19
Memphis,Closure,Archer Daniels Midland Company,Shelby,1/30/26,None,#202500024,95,None,Tennessee,Permanent,None,2025-12-19
Wilmington,None,"Smyth Companies, LLC",None,03/01/2026-07/01/2026,None,None,69,Boston,Massachusetts,None,None,2025-12-19
777 South Santa Fe Avenue. Los Angeles CA 90021,Layoff Permanent,Warner Music Inc.,Los Angeles County,2/16/26,71 Arts Entertainment and Recreation,None,5,None,California,None,None,2025-12-18
Poplar Bluff,Layoff,Saint Francis Healthcare,Butler,1/30/26,Healthcare,None,213,Southeast,Missouri,None,None,2025-12-18
None,Closure,Battelle Memorial Institute E3,Madison,2/18/26,541715,None,17,Bluegrass,Kentucky,None,None,2025-12-17
Waldorf,Plant Closure,The Charleston Senior Community,None,2/14/26,623312,"45 St. Patrick�s Drive Waldorf, MD 20603",74,Charles County,Maryland,None,None,2025-12-17
"Crandall, Chatsworth",Permanent Closure,Comprehensive Logistics,Murray,3/7/26,None,GA202500058,105,None,Georgia,None,None,2025-12-17
490 F Street Lemoore CA 93245,Closure Permanent,Leprino Foods Company,Kings County,12/30/26,31-33 Manufacturing,None,100,None,California,None,None,2025-12-17
None,Closure,Blue Oval SK Group/Battery Plant,Hardin,2/14/26,335911,None,"1,514",Lincoln Trail,Kentucky,None,None,2025-12-16
Rockville,Mass Layoff - No Recall,General Dynamics Information Technology,None,2/13/26,541330,"5600-5601 Fishers Lane Rockville, MD 20852",54,Montgomery County,Maryland,None,None,2025-12-16
The Rock,Permanent Closure,"Quad/Graphics, Inc.",Upson,12/19/2025-04/11/2026,None,GA202500057,241,None,Georgia,None,None,2025-12-16
Garner,Layoff,"I Squared Logistics, LLC",Wake,12/15/25,None,None,160,None,North Carolina,Permanent,None,2025-12-16
Wilmington,None,"*Updated* Charles River Laboratories, Inc.",None,01/06/2026-06/26/2026,None,None,71,Boston,Massachusetts,None,None,2025-12-16
None,Closure,PARSONS CORPORATION,Madison,1/16/26,541330,None,32,Bluegrass,Kentucky,None,None,2025-12-15
None,Closure,Thyssenkrupp,Boone,2/13/26,332991,None,77,Northern Kentucky,Kentucky,None,Yes,2025-12-15
