carrier_group,carrier_name,full_time,month_date,month_date_parsed,part_time,total
National,Breeze Aviation Group DBA Breeze,"1,853",Sep 2025,2025-09-01,708,"2,561"
National,CommuteAir dba CommuteAir,"1,161",Sep 2025,2025-09-01,3,"1,164"
National,Endeavor Air,"4,906",Sep 2025,2025-09-01,71,"4,977"
National,Global Crossing,667,Sep 2025,2025-09-01,51,718
National,GoJet Airlines,"1,196",Sep 2025,2025-09-01,0,"1,196"
National,Horizon Air,"2,697",Sep 2025,2025-09-01,"1,102","3,799"
National,Jet Aviation Flight Services,923,Sep 2025,2025-09-01,0,923
National,Lynden Air Cargo,206,Sep 2025,2025-09-01,0,206
National,Mesa,"1,565",Sep 2025,2025-09-01,4,"1,569"
National,National Air Cargo Group Inc d/ba National,561,Sep 2025,2025-09-01,0,561
National,Omni Air International,906,Sep 2025,2025-09-01,2,908
National,PSA,"4,944",Sep 2025,2025-09-01,0,"4,944"
National,Piedmont,"5,667",Sep 2025,2025-09-01,"4,754","10,421"
National,Sky Lease Cargo,146,Sep 2025,2025-09-01,12,158
National,TEM Enterprises dba Avelo,865,Sep 2025,2025-09-01,124,989
National,Western Global,302,Sep 2025,2025-09-01,0,302
Large Regional,21 Air,267,Sep 2025,2025-09-01,0,267
Large Regional,Asia Pacific,88,Sep 2025,2025-09-01,1,89
Large Regional,Caribbean Sun Airlines,170,Sep 2025,2025-09-01,73,243
Large Regional,Eastern,182,Sep 2025,2025-09-01,0,182
Large Regional,Eastern Air Express (EAX),363,Sep 2025,2025-09-01,0,363
Large Regional,Gulf And Caribbean Cargo,137,Sep 2025,2025-09-01,0,137
Large Regional,KaiserAir,39,Sep 2025,2025-09-01,29,68
